Nicole,Robinson,New,2024-03-20 02:06:13.821655+00:00,2024-03-20 02:06:13.821662+00:00
Lindsey,Hess,Premium,2024-03-20 02:06:13.821655+00:00,2024-03-20 02:06:13.821662+00:00
Lori,Mills,New,2024-03-20 02:06:13.821655+00:00,2024-03-20 02:06:13.821662+00:00
Steven,Hart,Premium,2024-03-20 02:06:13.821655+00:00,2024-03-20 02:06:13.821662+00:00
Melissa,Johnson,Standard,2024-03-20 02:06:13.821655+00:00,2024-03-20 02:06:13.821662+00:00
Janet,Bailey,New,2024-03-20 02:06:13.821655+00:00,2024-03-20 02:06:13.821662+00:00
Vickie,Yang,New,2024-03-20 02:06:13.821655+00:00,2024-03-20 02:06:13.821662+00:00
Jason,Farmer,New,2024-03-20 02:06:13.821655+00:00,2024-03-20 02:06:13.821662+00:00
Todd,Washington,Standard,2024-03-20 02:06:13.821655+00:00,2024-03-20 02:06:13.821662+00:00
Michelle,Espinoza,Premium,2024-03-20 02:06:13.821655+00:00,2024-03-20 02:06:13.821662+00:00
